locality,latitude,longitude
"Palm Meadows, Avenue 2A, Phase 2, Whitefield, Beng",12.9593745,77.7398075
"Dharavi Slums, Dharavi, Mumbai, Maharashtra, India",19.0464017,72.8600404
"Shyam Nagar, Kanpur, Uttar Pradesh, India",26.4080866,80.3660256
"Vydehi Institute of Medical Science and Hospital, ",12.975496,77.729381
Pari Chowk,28.4652411,77.5113083
"Matunga, Mumbai, Maharashtra, India",19.0268747,72.8553352
"Sector - 106, Noida, Uttar Pradesh, India",28.5359025,77.3920128
"Bilandpur, Gorakhpur, Uttar Pradesh, India",26.7496055,83.3760189
"BSK II Stage, Banashankari, Bengaluru, Karnataka, ",12.9248711,77.5662406
"Saroornagar, Telangana, India",17.3529457,78.5356595
"Sanjaynagar, Bengaluru, Karnataka, India",13.0369229,77.5785134
"Sector 30, Gurugram, Haryana, India",28.4603762,77.0578855
"Arjunganj, Lucknow, Uttar Pradesh, India",26.8092562,80.991803
Sector 122,28.5930495,77.3970354
"Malkajgiri, Secunderabad, Telangana, India",17.4503375,78.5322481
"Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh",26.8661776,81.0064442
"Shesh Nagar, Shaktimata Nagar, Kharbi, Nagpur, Mah",21.130934,79.1315687
"Rajarajeshwari Nagar, Remco Bhel Layout, Ideal Hom",12.9277822,77.5153541
"My Home Jewel Road, Madinaguda, Chanda Nagar, Hyde",17.4928393,78.3372079
"Dasghara Village, Inderpuri",28.620876,77.164272
"Khar West, Mumbai, Maharashtra, India",19.0716903,72.8341267
"Krishnaraju Layout, Amalodbhavi Nagar, Panduranga ",12.8988155,77.5970433
"Jnana Jyothi Nagar, Gnana Bharathi, Bengaluru, Kar",12.9413206,77.4974416
"Chandan Nagar, Pune, Maharashtra, India",18.5635511,73.9325552
"Shivaji Putla Chowk, Pimpri Gaon, Pimpri Colony, P",18.6099378,73.8006991
"Sambhaji Nagar, Mhada Colony, Andheri East, Mumbai",19.1141031,72.8467477
"Sarakki Main Road, Sarakki Nagar, 1st Phase, J. P.",12.9138435,77.5788991
"Verka, Amritsar, Punjab, India",31.6655013,74.9296456
"Amravati Enclave Panchkula, Amravati Enclave, Panc",30.752979,76.911403
"Ahmedabad, Gujarat, India",23.022505,72.5713621
"Arekere, Bengaluru, Karnataka, India",12.8873875,77.5968866
Bagdola,28.5715292,77.0729954
"Amrita Nagar, Choodasandra, Bengaluru, Karnataka, ",12.8928233,77.6786656
"Warje, Pune, Maharashtra, India",18.4864727,73.796834
"East Krishna Nagar, Delhi, India",28.6591439,77.2882833
"Kumbra, Sahibzada Ajit Singh Nagar, Punjab, India",30.6884695,76.7260057
"Arya Nagar, Lucknow, Uttar Pradesh, India",26.8363776,80.9173173
"Prabhadevi, Mumbai, Maharashtra, India",19.0158466,72.8279973
"Govindaraja Nagar Ward, Govindaraja Nagar, Vijayan",12.9693311,77.5218127
Mahendru Enclave,28.702697,77.1851807
"Parel, Mumbai, Maharashtra, India",19.0021567,72.8415793
"Sector 55, Gurgaon, Haryana, India",28.4280506,77.1096829
"Vasant Vihar, Indra Nagar Colony, Dehradun, Uttara",30.3153688,77.9995589
"Charni Road, Girgaon, Mumbai, Maharashtra, India",18.9517545,72.8183688
"Kaverappa Layout, Kadubeesanahalli, Bengaluru, Kar",12.933996,77.6979885
"Jagadgiri Gutta, Hyderabad, Telangana, India",17.5073336,78.4077422
"Nikol, Ahmedabad, Gujarat, India",23.0499889,72.6699673
"Budh Bazaar, Moradabad, Uttar Pradesh, India",28.8327967,78.7688728
"Fatepura, Vadodara, Gujarat, India",22.2965189,73.2212438
"Ichchhapor, Limla, Gujarat, India",21.1935636,72.7289272
"Chromepet, Chennai, Tamil Nadu, India",12.951611,80.1461663
"Sector 56, Gurgaon",28.4262171,77.096765
"BSK II Stage, Banashankari, Bengaluru, Karnataka,",12.9248711,77.5662406
"Maruthi Extension Vinayaka Layout, MT Layout, Mall",13.0031614,77.5640913
"Dharampura, Chheharta, Amritsar, Punjab, India",31.6265411,74.7973392
Bajaj Nagar,26.8657486,75.8013086
"Belilious Park, Belilious Road, Tikiapara, Howrah,",22.5954757,88.3283431
"Ghatkopar West, Mumbai, Maharashtra, India",19.0908063,72.9076669
"Wanowrie, Pune, Maharashtra, India",18.4847666,73.9022123
"Maninagar Railway Station, Rambagh, Maninagar, Ahm",22.9972477,72.6121365
"DRDO, Pashan, Pune, Maharashtra, India",18.5279727,73.7843414
"Sector 38, Gurgaon",28.4357613,77.0406147
"Jatin Das Park Metro, Bakul Bagan, Kalighat, Kolka",22.524262,88.346489
"Lingampally, Telangana, India",17.4836979,78.3158338
"Khamla, Nagpur, Maharashtra, India",21.1075627,79.0604509
"Kopar Khairane, Navi Mumbai, Maharashtra, India",19.102769,73.0090013
Golf Link Society,28.657591,77.473528
"HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka, I",13.0191445,77.6464534
Hira Nagar Sector 15-1,28.451459,77.019118
"Rahatani, Pimpri-Chinchwad, Maharashtra, India",18.6047038,73.7871295
"Partap Singhwala, Ludhiana, Punjab 141008, India",30.924375,75.7749395
Palam,28.5900637,77.0887828
"Patel Nagar, Gurgaon, Haryana, India",28.4549833,77.0387868
"Preet Vihar, Delhi, India",28.63642,77.2927538
"Bommanahalli, Bengaluru, Karnataka, India",12.9029804,77.6241936
"DLW Varanasi Uttar Pradesh, DLW Road, Sundarpur, N",25.2860536,82.9686447
Janakpuri,28.621899,77.0878385
"Satellite, Ahmedabad, Gujarat, India",23.0301227,72.5178289
"Bagbazar, Kolkata, West Bengal, India",22.6026086,88.3658993
"Khalasi Line, Kanpur, Uttar Pradesh, India",26.4879052,80.3185252
"Shopprix Mall, Surya Palace Colony, Meerut, Uttar ",28.9478212,77.6756476
"Malad East, Mumbai, Maharashtra, India",19.1808735,72.8574558
"Panch Pakhdi, Thane West, Thane, Maharashtra, Indi",19.1954727,72.9652491
"Brookefield, Bengaluru, Karnataka, India",12.9712301,77.7148376
"Rabodi, Thane West, Thane, Maharashtra, India",19.2038388,72.9851782
"Sector 85, Faridabad, Haryana, India",28.4047816,77.3559795
"MDDA Colony, Upper Badrish Colony, Dharampur, Dehr",30.3036706,78.0636351
"Pedda Waltair Junction, Near Visakha Eye Hospital,",17.7326441,83.3334095
"Teachers Colony, Vidyaranyapura, Bengaluru, Karnat",13.0840992,77.5548747
"Lower Parel Station, Railway Workshop Walkway, Low",18.995661,72.8297404
"Amrutahalli, Bengaluru, Karnataka, India",13.0658792,77.6042056
"Gandhi Park, Jali Kothi, Meerut, Uttar Pradesh, In",28.9802515,77.6986619
Garauli Khurd,28.4459271,76.9751074
"Antop Hill, Mumbai, Maharashtra, India",19.0283439,72.869804
"Nanda Nagar, Indore, Madhya Pradesh, India",22.7446794,75.8782344
"Govindpuri, New Delhi, Delhi, India",28.5354383,77.2639326
"Kannamangala, Karnataka 560067, India",13.0271867,77.7702406
"Lal Kuan, Ghaziabad, Uttar Pradesh, India",28.6331684,77.4730653
"Bopal, Ahmedabad, Gujarat, India",23.0336769,72.4634117
"Sector 62, Faridabad, Haryana, India",28.3096315,77.3295708
"Karelibagh Bhagini Samaj Trust, Pani Tanki Road, K",22.3193869,73.2017816
"Hale Devasandra, Krishnarajapura, Bengaluru, Karna",13.0027035,77.7015664
"Punjab Mandi Board Colony, Chandi Path, Sector 66,",30.67924,76.7374398
"Model Town Extension, Model Town, Ludhiana, Punjab",30.8825926,75.8416083
"Mahendra Enclave, Shastri Nagar, Ghaziabad, Uttar ",28.6688884,77.4694616
"Santosh Nagar, Hyderabad, Telangana, India",17.3472352,78.5083082
Rajendra Nagar,28.6875186,77.3652921
"Badlapur Railway Station Foot Over Bridge, Sarvoda",19.1667986,73.2387585
"Bhanvarkuan, Scheme No 74C, Vijay Nagar, Indore, M",22.7570623,75.8821865
"Pimpripada, Malad East, Mumbai, Maharashtra, India",19.1797774,72.8685327
"Birhana Road, Kanpur, Uttar Pradesh, India",26.4626925,80.3543223
"Gandhi Park, Gandhi Road, Meerut Cantt, Meerut, Ut",29.0073395,77.7027737
"Dooravani Nagar, Bengaluru, Karnataka, India",13.0029587,77.6677669
"Vesu, Surat, Gujarat, India",21.1417761,72.7709415
"Bhoganhalli, Bengaluru, Karnataka, India",12.9257252,77.7002566
"Sector 18, Ghaziabad, Uttar Pradesh, India",28.6537239,77.352183
"Rajouri Garden, New Delhi, Delhi, India",28.6415294,77.1209145
"Kandivali West, Mumbai, Maharashtra, India",19.1998211,72.842594
Nilothi,28.6511815,77.0593246
"Laxman Nagar, Baner, Pune, Maharashtra, India",18.5700156,73.7727908
"Sector 102, Gurugram, Haryana, India",28.4749763,76.971507
"Awas Vikas, Kalyanpur, Kanpur, Uttar Pradesh, Indi",26.4873523,80.2712959
"Thane, Station Road, Kopri, Thane East, Thane, Mah",19.1837635,72.9707287
"Juhu, Mumbai, Maharashtra, India",19.098821,72.8320717
"Aundh Road, Sindh Society, Aundh, Pune, Maharashtr",18.5574341,73.8170839
"Sector 89, Faridabad, Haryana, India",28.4178524,77.3654611
"Hotel Mansarovar Palace, Ward 27, Mansarovar Secto",26.854235,75.761311
Indra Colony Sector 52,28.4378835,77.0701175
"Malviya Nagar, New Delhi, Delhi, India",28.5342332,77.2094473
"Vejalpur, Ahmedabad, Gujarat, India",23.0061051,72.5164075
"Phase 10, Sector 64, Mohali, Punjab, India",30.6861221,76.7408666
"Westend Mall, Near Parihar Chowk, Harmony Society,",18.561618,73.806919
"Central Town, Jalandhar, Punjab, India",31.3268965,75.5837058
Garden Green Sector 52,28.4354159,77.0880443
"Chetana Nagar, Sindhi Colony, Aurangabad, Maharash",19.8705272,75.3372095
"Adarsh Palm Retreat, Bellandur, Bengaluru, Karnata",12.9234947,77.6851069
"Sector 5, Imt Manesar, Gurugram, Haryana, India",28.3688093,76.9268541
"Kaikondrahalli, Bengaluru, Karnataka, India",12.9138124,77.6849868
"Hulimavu, Bengaluru, Karnataka, India",12.8718155,77.6021817
Yamuna Vihar,28.7009403,77.2721047
"Dhakuria, Kolkata, West Bengal, India",22.5104166,88.3710975
"Puda Colony, Green Avenue, Amritsar, Punjab, India",31.6507466,74.8678915
"Hoodi Circle, Hudi, Hoodi, Bengaluru, Karnataka",12.9923184,77.7160509
"Kondapur, Hyderabad, Telangana, India",17.4622103,78.3568492
"Wakad Chowk Road, Shankar Kalat Nagar, Wakad, Pimp",18.5950158,73.7634952
"Saidabad, Hyderabad, Telangana, India",17.3573882,78.5112407
Nirvana Country Sector 50,28.4124299,77.06652
"Sector 7-C, Sector 7",30.7325211,76.8007301
"Sector 9A, Gurgaon",28.4711039,76.9981469
Kishan Garh Village,28.5183894,77.1670527
"Santacruz West, Mumbai, Maharashtra, India",19.0815087,72.8376755
"Jhansi, Uttar Pradesh, India",25.4484257,78.5684594
"Gandhinagar, Gujarat, India",23.2156354,72.6369415
"Mayur Vihar Phase 1, New Delhi, Delhi, India",28.6065926,77.2936763
"Avantika Nagar, Indore, Madhya Pradesh, India",22.7401845,75.837054
"Anwarganj, Kanpur, Uttar Pradesh, India",26.457218,80.3289701
"Ashoka Pillar Road, 2nd Block, Jaya Nagar East, Ja",12.9408841,77.5851445
"Hiranandani Estate, Thane West, Thane, Maharashtra",19.2591372,72.9844401
"Zirakpur, Punjab, India",30.6425496,76.8173359
Masoodpur,28.528944,77.1521114
"Sector 1, Greater Noida, Uttar Pradesh, India",28.5668205,77.4386429
"Hadapsar, Pune, Maharashtra, India",18.508934,73.9259102
"Samarth Colony, Baner, Pune, Maharashtra, India",18.5561385,73.7746293
"Azad Society, Bimanagar, Ambawadi, Ahmedabad, Guja",23.0285662,72.5347589
"Om Purwa, Kanpur, Uttar Pradesh, India",26.4315898,80.3818709
Guru Gobind Singh Marg,28.6605232,77.1869728
NSG Campus,28.3425996,76.9463841
Gaur City,28.6123351,77.4232158
"Musheerabad, Zamistanpur, Hyderabad, Telangana, In",17.4196548,78.4990004
"Kavadiguda, Hyderabad, Telangana, India",17.4170509,78.4906774
"Action Area II, Newtown, New Town, West Bengal, In",22.6036931,88.4718747
Narela,28.8539597,77.0917838
"Ankappa Layout, Uttarahalli Hobli, Bengaluru, Karn",12.9104677,77.5529857
"Ashapur Chauraha, Mavaiya, Sarnath, Varanasi, Utta",25.3612851,83.025761
Patparganj,28.6199877,77.292355
"Juhu Lane, Zalawad Nagar, Juhu Lane, Yadav Nagar, ",19.115618,72.8400773
"Pritam Nagar, Model Town, Ludhiana, Punjab, India",30.8908883,75.8444315
"Govindpura, Jaipur, Rajasthan, India",26.9533929,75.702683
"Bosepukur, Kasba, Kolkata, West Bengal, India",22.517929,88.383412
"Bareilly Visit, Unnamed Road, Subhash Nagar, subha",28.3391812,79.4083767
Gokalpuri,28.703423,77.2840105
"Manjalpur, Vadodara, Gujarat, India",22.2726436,73.1877854
Humayunpur,28.5616115,77.193806
"Sector 27, Chandigarh",30.7227149,76.7987759
"Daulat Nagar, Borivali, Mumbai, Maharashtra, India",19.2365653,72.8611481
"Rajajipuram, Lucknow, Uttar Pradesh, India",26.8469972,80.8763248
"Madipakkam, Chennai, Tamil Nadu, India",12.9647462,80.1960832
"Kalena Agrahara, Bannerghatta Road, Kalena Agrahar",12.866134,77.591908
"Whitefield Road, Ambedkar Nagar, Kadugodi, Bengalu",12.9800929,77.7516028
"Rakshak Chowk, Rakshak Society, Pimple Nilakh, Pim",18.5819735,73.7977914
"Goregaon, Mumbai, Maharashtra, India",19.1662566,72.8525696
Hari Nagar (West Delhi),28.6248596,77.1108681
"Vasai East, Vasai-Virar, Maharashtra, India",19.3939911,72.8623387
"Gaimukh Gaon Sports Field, Gaimukh Gaon, Thane Wes",19.2803472,72.9519315
"Simla, Machuabazar, Kolkata, West Bengal, India",22.5840483,88.3670325
"Mehlana Road, Mayur Vihar, Sector 21, Sonipat, Har",28.9914525,76.9871808
"Vile Parle East, Vile Parle, Mumbai, Maharashtra, ",19.0963781,72.8563994
"achole road, Babul Pada Road, Ambawadi, Nalasopara",19.4199154,72.8300245
"Indirapuram, Ghaziabad, Uttar Pradesh, India",28.641485,77.3713856
"Bahubali Nagar, Jalahalli, Bengaluru, Karnataka, I",13.0448627,77.5497613
"Sarakki Lake, Jarganahalli, JP Nagar 7th Phase, J.",12.899404,77.5798522
"Bazar Samiti, Bahadurpur, Patna, Bihar, India",25.6086233,85.1751534
"Marathahalli Bridge Bus Stop, Service Road, Marath",12.95421,77.7002567
"Kakadeo, Kanpur, Uttar Pradesh, India",26.4801643,80.2906659
"Sadaramangala, Krishnarajapura, Bengaluru, Karnata",13.0003059,77.7402009
Ashok Vihar,28.6884549,77.1757503
"Ramamurthy Nagar, Bengaluru, Karnataka, India",13.0184435,77.6781215
"Taloja, Navi Mumbai, Maharashtra, India",19.0630113,73.120891
"Adarsh Nagar, Chinhat Tiraha, Uttar Pradesh, India",26.8861004,81.0398682
Sector 21A,28.423125,77.2994144
"Nyanappana Halli, Hulimavu, Bengaluru, Karnataka, ",12.8799403,77.6156642
Rashtrapati Bhawan,28.6141527,77.1959622
"Powai, Mumbai, Maharashtra, India",19.1196773,72.9050809
"Moradabad, Uttar Pradesh, India",28.8386481,78.7733286
"Nerul East, Sector 21, Nerul, Navi Mumbai, Maharas",19.0324235,73.0198654
"G R Nagar Main Rd, Sakthi Nagar, Rayala Nagar, Ram",13.0308803,80.1867561
"Lok Vihar, Pitampura",28.692894,77.135209
Pitampura,28.6989984,77.1384174
"New Transport Nagar, Mathura Cantonment, Mathura, ",27.4815043,77.6890485
"Vidyaranyapura, Bengaluru, Karnataka, India",13.0857908,77.556098
"Egmore, Chennai, Tamil Nadu 600008, India",13.0732259,80.2609209
New Rajinder Nagar,28.6349338,77.1792825
"Piplod, Surat, Gujarat, India",21.1593189,72.77122
"Nigdi, Pimpri-Chinchwad, Maharashtra, India",18.6491735,73.7706532
"Jalvayu Vihar, Lucknow, Uttar Pradesh, India",26.7892406,80.9221562
"BEL Layout 1st Block, BEL Layout, Vidyaranyapura, ",13.0734129,77.5554935
"Auto Nagar, Hyderabad, Telangana, India",17.3578951,78.5831181
"Anand Nagar, Prahlad Nagar, Ahmedabad, Gujarat, In",23.0158821,72.5093906
"Kami, Sonipat, Haryana, India",29.0364884,77.0190228
"Kothrud, Pune, Maharashtra, India",18.5073514,73.8076543
"DLF Industrial Area, Faridabad, Haryana, India",28.4586615,77.3109035
"Sector 17, Chopasni Housing Board, Jodhpur, Rajast",26.2628808,72.9689398
"Vadapalani, Chennai, Tamil Nadu, India",13.0499711,80.2121306
"Kothaguda X Road, Land Mark Residency, Kothaguda, ",17.459045,78.366089
"Chheharta, Amritsar, Punjab, India",31.626261,74.7892951
"Shakurpur, Rani Bagh",28.6879079,77.1341675
"Metro Station Thalagattapura, Kanakapura Road, JP ",12.8712178,77.5383558
"Nawada, Delhi, India",28.6241571,77.0367022
"Kadma, Jamshedpur, Jharkhand, India",22.8042417,86.1672082
"Alaknanda, New Delhi, Delhi, India",28.5304408,77.2505733
"United Nagar, Kalyanpur, Kanpur, Uttar Pradesh, In",26.4809469,80.2540865
"Ullal Main Rd, Jnananjyothinagar, Muneshwaranagar,",12.9512941,77.4930298
"Katraj, Pune, Maharashtra, India",18.4529322,73.865238
"Sayyed Nagar, Kanpur, Uttar Pradesh, India",26.4767836,80.2732491
"Bolarum, Secunderabad, Telangana, India",17.5217602,78.510961
"Dhunbad, Grant Road West, Talmakiwadi, Grant Road,",18.9660025,72.8166314
"Housing Board Colony, Ranjit Avenue, Amritsar, Pun",31.6632382,74.8704498
"Saheed Nagar, Bhubaneswar, Odisha, India",20.2909962,85.8455788
South Extension I,28.5714723,77.2257859
Nangloi,28.6841206,77.0632942
"Ballal Circle, Krishnamurthy Puram, Mysuru, Karnat",12.2952764,76.6420594
"Jogeshwari East, Mumbai, Maharashtra, India",19.1370256,72.8549697
"Janta Nagar, Ludhiana, Punjab, India",30.8794397,75.8635625
"Senhati Colony, Behala, Kolkata, West Bengal, Indi",22.4972592,88.3281823
Maujpur,28.6906285,77.2764329
"Mumbai Highway, Sector 6A, Kamothe, Panvel, Navi M",19.025333,73.0962258
"Nandanvan, Nagpur, Maharashtra, India",21.1387912,79.1276399
"Guru Amardas Avenue, Amritsar, Punjab, India",31.6653474,74.8360918
"Chinchpokli, Mumbai, Maharashtra, India",18.9854394,72.834562
"Vaikunth Society, Gotri, Vadodara, Gujarat, India",22.3168225,73.1421521
Indira Park,28.5987066,77.0981618
"Agra Cantt.Uttar Pradesh, India",27.1590786,77.9905584
"Palanpur, Surat, Gujarat, India",21.206902,72.7669633
"Pandri, Raipur, Chhattisgarh, India",21.2527909,81.6488864
Mahavir Enclave,28.6029832,77.0782426
"Avantika Colony,Shastri Nagar",28.675971,77.4859711
"Arjan Garh, Aya Nagar, New Delhi, Delhi, India",28.475239,77.1175451
"Garia, Kolkata, West Bengal, India",22.4660129,88.3928446
"Shahid Khudiram Metro Station Road, Briji, Garia, ",22.4659648,88.3908148
"Virar West, Virar, Maharashtra, India",19.4618817,72.7776581
Sector 61,28.5960875,77.3683319
"Sena Vihar, Kammanahalli, Bengaluru, Karnataka, In",13.0194725,77.6385779
"Hebbagodi Police Station, Electronic City, Bengalu",12.8263113,77.6821214
"Dumdum, Kolkata, West Bengal, India",22.6420109,88.4311688
"Nampally, Hyderabad, Telangana, India",17.386041,78.4665936
"Dominic Layout, Seegehalli, Krishnarajapura, Benga",13.0193768,77.7176658
"INA Colony, Amritsar, Punjab, India",31.6373908,74.8697188
"Sector 8, Panchkula, Haryana, India",30.6996417,76.844708
"Gota, Ahmedabad, Gujarat, India",23.1012966,72.5407052
Mayfield Garden Sector 57A,28.4253544,77.0630471
"Belathur, Krishnarajapura, Bengaluru, Karnataka 56",13.0072468,77.7523608
"Magarpatta, Hadapsar, Pune, Maharashtra, India",18.5158057,73.9271644
"Beniapukur, Kolkata, West Bengal, India",22.5448707,88.3704687
"Talwandi, Kota, Rajasthan, India",25.1467143,75.8406988
"Sector 6 Vaishali, Ghaziabad, Uttar Pradesh, India",28.6484484,77.3532597
"New Loha Mandi, Harmada, Jaipur, Rajasthan 302032,",26.9953689,75.7621004
Prashant Vihar,28.7157406,77.1351454
"Subhash Nagar, Kolkata, West Bengal, India",22.6343272,88.4052416
"MDDA Colony, Dalanwala, Dehradun, Uttarakhand, Ind",30.3123898,78.0634101
"Manik Bagh Road, Door Sanchar Colony, Veer Savarka",22.6954233,75.8549556
"Jaistambh Chowk, Byron Bazar, Raipur, Chhattisgarh",21.2437788,81.6355781
"Murugeshpalya Shiva temple, Ramagiri, Murgesh Pall",12.9589176,77.6571575
"LDA Colony, Lucknow, Uttar Pradesh, India",26.7963529,80.8945453
"Attiguppe, Bengaluru, Karnataka, India",12.9597914,77.5289797
Karkardooma,28.6529458,77.3022868
Sector 69,28.3981822,77.037736
"Medipally, Survey Colony Road, Survey Colony, Indu",17.3983833,78.5582647
"Keelkattalai, Chennai, Tamil Nadu, India",12.9556074,80.1868681
"Laxminarayan Theater, Parvati Paytha, Pune, Mahara",18.4960206,73.8575984
"Kadubeesanahalli Road, Kodbisanhalli, Panathur, Be",12.9387312,77.6969727
"Rajni Khand, Lucknow, Uttar Pradesh, India",26.7782697,80.9332155
"Mahagunpuram, Ghaziabad, Uttar Pradesh, India",28.6660454,77.4795184
"Hinjawadi Phase 1 Road, Phase 1, Hinjawadi Village",18.5879748,73.7373548
"Nirala Estate, Patwari, Greater Noida, Uttar Prade",28.5870007,77.442498
