,locality,latitude,longitude,Pincode,Latitude,Longitude
0,Nawada,28.6241571,77.0367022,110059.0,28.6215,77.04153
1,"Sector 57, Gurgaon",28.4234414,77.0765927,122003.0,28.4465,77.07362
2,Bara Tooti Chowk,28.6585239,77.2126987,110006.0,28.65942,77.21306
3,"Kurmaguda, Hyderabad, Telangana, India",17.3625636,78.5000555,500059.0,17.35628,78.50506
4,Sector 42,28.4687885,77.296542,121009.0,28.48811,77.29458
5,Greater Kailash,28.5428238,77.2395479,110048.0,28.53767,77.23814
6,Sector 49,28.3898549,77.2663771,121001.0,28.402,77.29219
7,"Tarsali, Vadodara, Gujarat, India",22.2563322,73.2162105,390009.0,22.25703,73.21367
8,"GARCHUK, Guwahati, Assam, India",26.1051468,91.7125264,781035.0,26.11608,91.70833
9,"Kaggadasapura to Outer Ring Road, B K Abbaiah Layo",12.9886919,77.6805585,560016.0,12.98539,77.67714
10,"Ulubari, Guwahati, Assam, India",26.168344,91.754068,781008.0,26.17239,91.75056
11,Rajouri Garden,28.6415294,77.1209145,110027.0,28.64269,77.12322
12,"Dhakoli, Zirakpur, Punjab, India",30.6543523,76.8451904,460440.0,30.66486,76.85165
13,"Kandivali (East), Govind Dalvi Nagar, Kandivali Ea",19.201724,72.8540664,400067.0,19.204,72.85
14,"Miyapur, Telangana, India",17.5169014,78.3428304,500090.0,17.55022,78.33586
15,"Sultanpur, South Delhi",28.4964056,77.1643337,471525.0,28.5,77.17
16,Beta I,28.4797984,77.5060438,121014.0,28.4726,77.4848
17,"Sector 3, HSR Layout, Bengaluru, Karnataka, India",12.9079567,77.640957,560102.0,12.91411,77.63715
18,"Kapra, Secunderabad, Telangana, India",17.4885251,78.5681716,500103.0,17.48763,78.57247
19,Nehru Nagar III,28.6534341,77.4443807,201018.0,28.65196,77.43663
20,"Meethapur Chowk, Badarpur",28.5004609,77.3163235,487334.0,28.50118,77.32007
21,"Marol Village, Marol Maroshi Road, Gamdevi, Marol ",19.1122755,72.8791222,400059.0,19.11617,72.88261
